player,seed,score,steps,deliveries,battery,execution_time
HybridClusterPlayer,123,105,209,6,-37,3.04
DefaultPlayer,234,-150,204,6,-114,2.49
EnchacedPlayer,234,-150,204,6,-114,2.49
DijkstraPlayer,234,102,300,6,27,3.89
astarPlayer,234,102,300,6,27,3.99
HybridPlayer,234,102,300,6,27,3.82
HybridClusterPlayer,234,102,300,6,27,4.02
DefaultPlayer,345,-110,196,6,-106,2.38
EnchacedPlayer,345,-110,196,6,-106,2.42
DijkstraPlayer,345,88,358,6,28,4.64
astarPlayer,345,78,360,6,28,4.58
HybridPlayer,345,88,358,6,28,4.55
HybridClusterPlayer,345,28,370,6,28,4.94
DefaultPlayer,456,-265,227,6,-137,2.78
EnchacedPlayer,456,-265,227,6,-137,2.74
DijkstraPlayer,456,159,295,6,19,3.87
astarPlayer,456,159,295,6,19,4.11
HybridPlayer,456,159,295,6,19,3.71
HybridClusterPlayer,456,189,289,6,19,3.89
DefaultPlayer,567,34,212,6,-66,2.63
EnchacedPlayer,567,34,212,6,-66,2.57
DijkstraPlayer,567,252,210,6,32,2.75
astarPlayer,567,252,210,6,32,3.01
HybridPlayer,567,252,210,6,32,2.65
HybridClusterPlayer,567,252,210,6,32,2.98
DefaultPlayer,1234,205,133,6,-43,1.61
EnchacedPlayer,1234,205,133,6,-43,1.61
DijkstraPlayer,1234,292,190,6,47,2.49
astarPlayer,1234,292,190,6,47,2.61
HybridPlayer,1234,292,190,6,47,2.4
HybridClusterPlayer,1234,292,190,6,47,2.58
DefaultPlayer,2345,-200,214,6,-124,2.62
EnchacedPlayer,2345,-200,214,6,-124,2.62
DijkstraPlayer,2345,140,278,6,45,3.61
astarPlayer,2345,215,171,6,20,2.33
HybridPlayer,2345,140,278,6,45,3.5
HybridClusterPlayer,2345,276,206,6,31,2.9
DefaultPlayer,3456,-90,192,6,-102,2.36
EnchacedPlayer,3456,-90,192,6,-102,2.36
DijkstraPlayer,3456,158,248,6,8,3.26
astarPlayer,3456,158,248,6,8,3.5
HybridPlayer,3456,158,248,6,8,3.13
HybridClusterPlayer,3456,76,242,6,36,3.32
DefaultPlayer,4567,-60,186,6,-96,2.27
EnchacedPlayer,4567,-60,186,6,-96,2.3
DijkstraPlayer,4567,156,226,6,36,2.95
astarPlayer,4567,156,226,6,36,3.18
HybridPlayer,4567,156,226,6,36,2.81
HybridClusterPlayer,4567,156,226,6,36,3.15
DefaultPlayer,5678,-35,237,6,-15,2.91
EnchacedPlayer,5678,-35,237,6,-15,2.93
DijkstraPlayer,5678,251,219,6,21,2.82
astarPlayer,5678,90,244,6,30,3.4
HybridPlayer,5678,251,219,6,21,2.77
HybridClusterPlayer,5678,75,271,6,-27,3.74
DefaultPlayer,12345,-75,189,6,-99,2.33
EnchacedPlayer,12345,-75,189,6,-99,2.34
DijkstraPlayer,12345,327,143,6,27,1.96
astarPlayer,12345,367,135,6,27,2.0
HybridPlayer,12345,327,143,6,27,1.84
HybridClusterPlayer,12345,363,147,6,13,2.14
DefaultPlayer,23456,-165,207,6,-117,2.59
EnchacedPlayer,23456,-165,207,6,-117,2.57
DijkstraPlayer,23456,198,212,6,43,2.82
astarPlayer,23456,66,304,6,31,3.96
HybridPlayer,23456,198,212,6,43,2.69
HybridClusterPlayer,23456,66,304,6,31,4.01
DefaultPlayer,34567,-300,234,6,-144,2.88
EnchacedPlayer,34567,-300,234,6,-144,2.89
DijkstraPlayer,34567,60,218,6,-37,2.85
astarPlayer,34567,60,218,6,-37,3.03
HybridPlayer,34567,60,218,6,-37,2.77
HybridClusterPlayer,34567,60,218,6,-37,3.1
DefaultPlayer,45678,-45,183,6,-93,2.24
EnchacedPlayer,45678,-45,183,6,-93,2.23
DijkstraPlayer,45678,224,230,6,14,2.99
astarPlayer,45678,224,230,6,14,3.18
HybridPlayer,45678,224,230,6,14,2.88
HybridClusterPlayer,45678,214,232,6,14,3.2
DefaultPlayer,56789,45,165,6,-75,2.0
EnchacedPlayer,56789,45,165,6,-75,2.01
DijkstraPlayer,56789,149,229,6,34,3.09
astarPlayer,56789,149,229,6,34,3.04
HybridPlayer,56789,149,229,6,34,2.88
HybridClusterPlayer,56789,99,239,6,34,3.32
