player,seed,score,steps,deliveries,battery,execution_time
DefaultPlayer,45,15,171,6,-81,2.07
EnchacedPlayer,45,108,338,6,26,4.15
DijkstraPlayer,45,130,210,4,70,2.84
astarPlayer,45,128,212,4,70,2.83
HybridPlayer,45,130,210,4,70,2.7
HybridClusterPlayer,45,100,240,4,70,3.43
DefaultPlayer,56,-130,200,6,-110,2.44
EnchacedPlayer,56,76,378,6,21,4.66
DijkstraPlayer,56,95,245,4,70,3.29
astarPlayer,56,95,245,4,70,3.44
HybridPlayer,56,95,245,4,70,3.12
HybridClusterPlayer,56,131,209,4,70,3.08
DefaultPlayer,123,-5,175,6,-85,2.16
EnchacedPlayer,123,249,253,6,37,3.13
DijkstraPlayer,123,269,156,5,70,2.16
astarPlayer,123,269,156,5,70,2.43
HybridPlayer,123,269,156,5,70,2.06
HybridClusterPlayer,123,249,176,5,70,2.74
DefaultPlayer,234,-150,204,6,-114,2.47
EnchacedPlayer,234,78,300,6,27,3.67
DijkstraPlayer,234,164,91,3,70,1.31
astarPlayer,234,164,91,3,70,1.44
HybridPlayer,234,164,91,3,70,1.23
HybridClusterPlayer,234,164,91,3,70,1.48
DefaultPlayer,345,-110,196,6,-106,2.41
EnchacedPlayer,345,122,380,6,28,4.62
DijkstraPlayer,345,52,288,4,70,3.83
astarPlayer,345,58,282,4,70,3.68
HybridPlayer,345,52,288,4,70,3.59
HybridClusterPlayer,345,29,226,3,70,3.08
DefaultPlayer,456,-265,227,6,-137,2.77
EnchacedPlayer,456,19,419,6,41,5.09
DijkstraPlayer,456,104,236,4,70,3.16
astarPlayer,456,104,236,4,70,3.39
HybridPlayer,456,104,236,4,70,3.02
HybridClusterPlayer,456,92,248,4,70,3.39
DefaultPlayer,567,34,212,6,-66,2.64
EnchacedPlayer,567,243,243,6,45,2.96
DijkstraPlayer,567,231,194,5,70,2.69
astarPlayer,567,231,194,5,70,2.9
HybridPlayer,567,231,194,5,70,2.55
HybridClusterPlayer,567,231,194,5,70,2.74
DefaultPlayer,1234,205,133,6,-43,1.62
EnchacedPlayer,1234,334,176,6,43,2.17
DijkstraPlayer,1234,312,198,6,47,2.63
astarPlayer,1234,312,198,6,47,2.78
HybridPlayer,1234,312,198,6,47,2.56
HybridClusterPlayer,1234,306,204,6,47,2.86
DefaultPlayer,2345,-200,214,6,-124,2.62
EnchacedPlayer,2345,193,269,6,34,3.32
DijkstraPlayer,2345,204,221,5,70,2.97
astarPlayer,2345,272,153,5,70,2.14
HybridPlayer,2345,204,221,5,70,2.85
HybridClusterPlayer,2345,218,207,5,70,2.94
DefaultPlayer,3456,-90,192,6,-102,2.35
EnchacedPlayer,3456,116,370,6,36,4.49
DijkstraPlayer,3456,224,286,6,36,3.78
astarPlayer,3456,224,286,6,36,4.07
HybridPlayer,3456,224,286,6,36,3.64
HybridClusterPlayer,3456,220,290,6,36,4.06
DefaultPlayer,4567,-60,186,6,-96,2.29
EnchacedPlayer,4567,249,253,6,27,3.14
DijkstraPlayer,4567,217,208,5,70,2.84
astarPlayer,4567,217,208,5,70,2.93
HybridPlayer,4567,217,208,5,70,2.66
HybridClusterPlayer,4567,217,208,5,70,3.02
DefaultPlayer,5678,-35,237,6,-15,2.92
EnchacedPlayer,5678,117,385,6,21,4.72
DijkstraPlayer,5678,153,272,5,70,3.65
astarPlayer,5678,171,254,5,70,3.65
HybridPlayer,5678,153,272,5,70,3.5
HybridClusterPlayer,5678,117,308,5,70,4.33
DefaultPlayer,12345,-75,189,6,-99,2.32
EnchacedPlayer,12345,263,223,6,39,2.76
DijkstraPlayer,12345,341,169,6,45,2.3
astarPlayer,12345,341,169,6,45,2.41
HybridPlayer,12345,341,169,6,45,2.19
HybridClusterPlayer,12345,343,167,6,51,2.42
DefaultPlayer,23456,-165,207,6,-117,2.54
EnchacedPlayer,23456,26,448,6,31,5.51
DijkstraPlayer,23456,218,207,5,70,2.86
astarPlayer,23456,4,251,3,70,3.45
HybridPlayer,23456,218,207,5,70,2.7
HybridClusterPlayer,23456,4,251,3,70,3.54
DefaultPlayer,34567,-300,234,6,-144,2.88
EnchacedPlayer,34567,302,200,6,25,2.44
DijkstraPlayer,34567,252,173,5,70,2.4
astarPlayer,34567,252,173,5,70,2.37
HybridPlayer,34567,252,173,5,70,2.22
HybridClusterPlayer,34567,252,173,5,70,2.6
DefaultPlayer,45678,-45,183,6,-93,2.24
EnchacedPlayer,45678,146,316,6,36,3.86
DijkstraPlayer,45678,179,246,5,70,3.32
astarPlayer,45678,179,246,5,70,3.44
HybridPlayer,45678,179,246,5,70,3.13
HybridClusterPlayer,45678,147,278,5,70,3.87
DefaultPlayer,56789,45,165,6,-75,2.05
EnchacedPlayer,56789,215,267,6,30,3.29
DijkstraPlayer,56789,224,201,5,70,2.81
astarPlayer,56789,224,201,5,70,2.74
HybridPlayer,56789,224,201,5,70,2.6
HybridClusterPlayer,56789,226,199,5,70,2.91
